BGC,KG,Tave,PPT
BAFAun,ET,"[-12.82, -10.83, -8.96, -4.47, 0.65, 4.75, 7.06, 6.74, 2.58, -2.78, -9.42, -12.26]","[152.58, 107.4, 93.44, 69.81, 68.22, 80.22, 97.7, 100.91, 124.1, 174.63, 150.38, 153.14]"
BAFAunp,ET,"[-9.02, -6.74, -5.07, -1.8, 2.58, 5.97, 8.36, 8.59, 5.38, 0.29, -5.81, -9.03]","[209.41, 116.58, 110.76, 77.55, 56.45, 58.24, 48.97, 67.33, 98.99, 199.74, 244.55, 212.13]"
BG  xh 1,Cfb,"[-2.93, 0.57, 5.12, 9.68, 14.12, 18.32, 21.23, 20.82, 15.84, 9.41, 2.77, -2.15]","[30.54, 20.82, 19.26, 23.44, 30.43, 28.2, 19.32, 30.61, 19.75, 16.74, 25.39, 42.64]"
BG  xh 2,Dfb,"[-5.34, -1.28, 3.54, 8.45, 13.02, 17.16, 19.74, 19.27, 14.19, 7.93, 0.82, -4.32]","[31.42, 16.31, 10.53, 15.71, 21.47, 24.17, 28.16, 29.87, 25.27, 19.69, 24.44, 37.17]"
BG  xh 3,Dfb,"[-6.39, -2.08, 2.84, 7.6, 12.15, 16.17, 18.78, 18.22, 13.52, 7.55, 0.02, -5.38]","[29.35, 18.35, 12.83, 17.79, 23.61, 29.23, 32.55, 32.41, 28.19, 24.98, 29.46, 36.96]"
BG  xw 1,Dfb,"[-6.33, -2.78, 1.39, 5.74, 10.05, 14.03, 16.56, 16.24, 11.61, 6.03, -0.73, -5.74]","[37.03, 21.48, 14.31, 19.65, 26.13, 27.35, 29.03, 29.74, 29.21, 21.5, 30.53, 45.12]"
BG  xw 2,Dfb,"[-8.36, -3.99, 0.91, 5.73, 10.29, 14.06, 16.58, 16.06, 11.64, 5.83, -1.68, -7.22]","[29.71, 18.5, 15.41, 23.44, 30.12, 37.38, 42.81, 38.32, 30.79, 27.92, 31.47, 38.9]"
BWBSdk,Dsc,"[-15.1, -11.07, -6.26, 0.08, 5.58, 9.87, 12.13, 11.1, 6.63, 0.98, -8.35, -13.3]","[51.65, 36.75, 31.05, 19.48, 31.69, 44.13, 60.75, 52.49, 52.19, 60.01, 49.43, 55.73]"
BWBSmk,Dfc,"[-19.01, -14.43, -8.51, 0.96, 7.63, 12.7, 14.84, 13.25, 7.86, 1.31, -11.06, -16.63]","[31.31, 22.62, 24.28, 22.84, 48.25, 69.9, 83.74, 64.05, 43.24, 34.94, 30.77, 31.32]"
BWBSmw,Dfc,"[-14.67, -10.96, -5.68, 2.46, 8.35, 12.52, 14.64, 13.64, 8.73, 3.53, -7.2, -13.07]","[34.18, 24.05, 26.69, 21.43, 41.85, 74.16, 74.71, 54.54, 42.93, 32.44, 34.0, 33.73]"
BWBSvk,Dfc,"[-6.36, -4.42, -1.56, 2.56, 6.65, 10.19, 12.3, 11.8, 8.55, 3.98, -2.36, -5.2]","[224.74, 155.35, 122.71, 82.77, 90.1, 87.29, 104.64, 136.42, 216.61, 295.05, 218.88, 214.67]"
