BGC,KG,Tave,PPT
BAFAun,ET,"[-11.24, -9.85, -8.81, -3.83, 1.29, 5.52, 7.51, 7.18, 2.98, -2.99, -8.7, -10.75]","[151.7, 98.19, 90.85, 71.47, 66.91, 87.39, 97.18, 106.37, 126.38, 165.98, 160.65, 149.37]"
BAFAunp,ET,"[-7.58, -6.5, -4.93, -1.41, 3.09, 6.46, 8.97, 9.17, 5.91, 0.17, -5.38, -8.02]","[196.04, 93.6, 116.15, 90.5, 60.27, 65.64, 45.83, 72.08, 94.33, 198.92, 260.67, 206.77]"
BG  xh 1,Cfa,"[-1.4, 0.74, 5.46, 9.99, 14.62, 18.13, 22.04, 21.42, 16.82, 9.51, 2.97, -1.37]","[29.81, 16.62, 22.45, 24.36, 31.5, 35.13, 20.23, 19.22, 16.42, 17.47, 30.58, 35.06]"
BG  xh 2,Dfb,"[-3.55, -0.78, 3.89, 8.82, 13.51, 17.17, 20.51, 19.78, 15.09, 7.86, 1.19, -3.34]","[29.16, 13.77, 13.82, 16.36, 25.73, 31.83, 30.21, 24.07, 22.82, 23.99, 28.97, 31.61]"
BG  xh 3,Dfb,"[-4.65, -1.61, 3.15, 8.0, 12.65, 16.44, 19.4, 18.75, 14.16, 7.48, 0.47, -4.28]","[29.36, 15.99, 14.81, 21.08, 26.43, 34.51, 32.86, 29.95, 27.11, 27.83, 32.04, 33.14]"
BG  xw 1,Dfb,"[-4.56, -2.34, 1.73, 6.11, 10.54, 13.95, 17.37, 16.78, 12.56, 5.98, -0.38, -4.83]","[34.26, 17.96, 19.04, 20.04, 31.13, 36.41, 31.13, 22.66, 25.9, 26.74, 37.18, 37.57]"
BG  xw 2,Dfb,"[-6.56, -3.5, 1.2, 6.1, 10.77, 14.37, 17.16, 16.57, 12.23, 5.73, -1.2, -6.06]","[29.92, 16.01, 17.42, 28.53, 33.32, 43.65, 43.1, 35.81, 29.83, 30.46, 33.91, 35.16]"
BWBSdk,Dfc,"[-13.47, -10.04, -6.21, 0.81, 6.36, 10.79, 12.57, 11.55, 6.96, 0.79, -7.62, -11.69]","[51.13, 34.07, 29.69, 19.48, 31.27, 47.55, 62.05, 55.29, 53.98, 57.68, 54.02, 55.33]"
BWBSmk,Dfc,"[-17.29, -12.87, -7.77, 1.71, 7.95, 13.15, 15.29, 13.62, 8.56, 1.05, -10.13, -15.16]","[30.56, 21.3, 25.21, 21.73, 44.78, 75.9, 80.63, 70.55, 40.7, 33.48, 35.17, 32.77]"
BWBSmw,Dfc,"[-12.84, -9.78, -4.89, 2.91, 8.47, 12.84, 15.03, 14.04, 9.52, 3.1, -6.38, -11.36]","[31.86, 19.85, 30.44, 22.01, 41.53, 81.82, 76.7, 58.84, 40.07, 30.74, 37.76, 31.76]"
BWBSvk,Dfc,"[-4.46, -3.28, -1.43, 3.38, 7.71, 11.33, 12.91, 12.45, 9.02, 4.07, -1.44, -3.57]","[243.69, 156.3, 111.37, 69.87, 84.19, 79.5, 101.45, 155.98, 224.9, 267.31, 216.21, 201.61]"
BWBSwk 1,Dfc,"[-9.75, -8.37, -4.47, 1.56, 6.62, 10.97, 13.34, 12.75, 8.53, 2.6, -4.89, -9.02]","[66.34, 33.43, 55.52, 36.75, 46.88, 88.17, 87.92, 63.81, 54.34, 59.44, 75.96, 68.1]"
BWBSwk 2,Dfc,"[-12.06, -8.99, -5.79, 1.41, 6.68, 11.33, 13.58, 12.6, 8.09, 1.64, -6.66, -10.59]","[30.71, 22.35, 33.29, 30.46, 54.37, 100.94, 93.36, 70.67, 47.24, 35.45, 41.22, 33.88]"
BWBSwk 3,Dfc,"[-15.36, -11.31, -7.66, 0.13, 6.04, 10.92, 13.12, 11.83, 7.1, 0.42, -9.48, -13.42]","[34.75, 24.97, 27.67, 27.92, 65.82, 107.29, 98.43, 82.46, 48.73, 39.46, 40.95, 36.59]"
CDF mm,Csb,"[4.05, 4.59, 6.22, 8.87, 12.21, 15.1, 17.65, 17.67, 14.8, 9.89, 6.02, 3.66]","[171.25, 97.02, 106.55, 66.22, 48.65, 37.65, 24.32, 33.54, 47.78, 115.55, 170.36, 164.06]"
CMA un,ET,"[-9.27, -8.28, -7.18, -2.68, 2.11, 5.82, 7.87, 7.88, 4.19, -1.46, -6.78, -8.71]","[428.79, 260.95, 231.29, 166.66, 138.45, 118.9, 135.74, 213.26, 344.77, 484.15, 432.25, 415.18]"
CMA unp,Dfc,"[-5.48, -5.07, -3.93, -0.92, 3.31, 6.52, 9.58, 10.07, 7.38, 1.57, -3.69, -5.94]","[390.69, 242.03, 274.26, 230.25, 155.12, 129.95, 94.18, 126.59, 161.29, 401.1, 465.2, 387.43]"
CMA wh,Cfc,"[-0.74, -0.25, -0.05, 1.88, 4.91, 7.99, 10.31, 11.3, 8.96, 4.48, 0.84, -0.9]","[552.45, 396.44, 454.66, 323.68, 179.84, 138.84, 105.45, 168.76, 330.32, 646.23, 558.9, 645.42]"
