BGC,KG1960-1992,KG1990-2014
BG  xh 1,Cfb,Cfa
BWBSdk,Dsc,Dfc
CMA unp,ET,Dfc
ESSFdcp,ET,Dfc
ESSFdh 1,Dfc,Dfb
ESSFdh 2,Dfc,Dfb
ESSFmh,Dfc,Dfb
ESSFmkp,ET,Dfc
ESSFvcp,ET,Dfc
ESSFwcp,ET,Dfc
ESSFxc 1,Dfc,Dsc
ESSFxcw,ET,Dfc
ESSFxv 1,ET,Dfc
ESSFxv 2,ET,Dfc
ICH dk,Dfc,Dfb
ICH mk 2,Dfc,Dfb
ICH mk 3,Dfc,Dfb
ICH mk 4,Dfc,Dfb
ICH mk 5,Dfc,Dfb
ICH mw 1,Dfc,Dfb
ICH vk 1,Dfc,Dfb
ICH wk 2,Dfc,Dfb
ICH xw,Dfb,Cfb
IDF dc,Dsc,Dfb
IDF dk 1,Dfc,Dfb
IDF dk 3,Dfc,Dfb
IDF dw,Dsc,Dfc
IDF ww,Dfb,Dsb
MH  mm 1,Dfc,Cfc
MH  unp,ET,Dfc
MH  wh 1,Dfc,Cfb
MS  dm 1,Dfc,Dfb
MS  dm 2,Dfc,Dfb
MS  dw,Dfc,Dfb
PP  xh 1,Dfb,Cfb
PP  xw,Dsb,Cfb
SBS dw 1,Dfc,Dfb
SBS mw,Dfc,Dfb
